year,Portfolio,TWII
2007-01-02,100.0,100.0
2007-12-31,100.0,107.3916776083224
2008-12-31,45.74946698767073,59.24016052635536
2009-12-31,157.660792698824,103.24243202501656
2010-12-31,384.61247419875025,112.86058119293858
2011-12-30,294.678214062724,88.43573721017108
2012-12-28,298.0688629693035,97.94165576841209
2013-12-31,259.109909663864,108.42032338283767
2014-12-31,310.64154204063215,117.16591609538528
2015-12-31,260.10371531538647,105.34018233105797
2016-12-30,436.7281976748212,120.12991661598777
2017-12-29,449.45803605303337,137.87797149921403
2018-12-28,408.7423759378254,125.2198084296

,IRR
Portfolio,0.1144
TWII,0.0175
